Date Negative Positive Deaths PDeaths Hospitalizations Released CurrentlyHospitalized AcuteCare IntensiveCare
200304 NA NA NA NA NA NA NA NA NA
200305 17 NA NA NA NA NA NA NA NA
200306 26 3 NA NA NA NA NA NA NA
200307 41 3 NA NA NA NA NA NA NA
200308 52 3 NA NA NA NA NA NA NA
200309 73 5 NA NA NA NA NA NA NA
200310 89 6 NA NA NA NA NA NA NA
200311 94 9 NA NA NA NA NA NA NA
200312 NA 12 NA NA NA NA NA NA NA
200313 NA 17 NA NA NA NA NA NA NA
200314 NA 26 NA NA NA NA NA NA NA
200315 NA 31 NA NA NA NA NA NA NA
200316 NA 37 NA NA NA NA NA NA NA
200317 NA 57 NA NA NA NA NA NA NA
200318 NA 85 NA NA NA NA NA NA NA
200319 NA 107 1 NA NA NA NA NA NA
200320 NA 149 1 NA NA NA NA NA NA
200321 NA 190 2 NA NA NA NA NA NA
200322 NA 244 3 NA NA NA NA NA NA
200323 NA 288 3 NA NA NA NA NA NA
200324 NA 349 3 NA NA NA NA NA NA
200325 NA 423 4 NA NA NA NA NA NA
200326 NA 580 4 NA 132 23 108 68 40
200327 NA 774 5 NA 173 25 146 76 70
200328 11516 992 5 NA 226 32 185 113 72
200329 12354 1239 10 NA 277 39 212 118 94
200330 13316 1413 15 NA 353 43 260 150 110
200331 14868 1660 18 NA 429 53 308 177 131
200401 17233 1985 31 NA 522 69 402 257 145
200402 18890 2331 36 NA 582 81 NA NA NA
200403 20932 2758 42 NA 664 159 447 263 184
200404 22485 3125 53 NA 821 159 605 369 236
200405 24728 3609 67 NA 936 159 559 305 254
200406 25572 4045 91 NA 1059 184 770 498 272
200407 27256 4371 103 NA 1106 288 801 499 302
200408 32933 5529 124 NA 1210 365 848 539 309
200409 35344 6185 138 NA 1348 376 924 581 343
200410 37480 6968 171 NA 1413 397 918 560 358
200411 39544 7694 206 NA 1709 431 1020 641 379
200412 41539 8225 235 NA 1860 456 1019 633 386
200413 42815 8936 262 NA 1975 603 1071 657 414
200414 44261 9472 302 NA 2122 607 1079 631 448
200415 45731 10032 349 64 2231 607 1156 718 438
200416 48059 10784 392 67 2451 736 1219 788 431
200417 50437 11572 425 69 2612 736 1201 762 439
200418 53062 12308 463 71 2757 771 1288 800 488
200419 55061 12830 486 62 2886 914 1289 791 498
200420 57713 13684 516 66 3014 917 1340 829 511
200421 59442 14193 584 68 3158 930 1433 907 526
200422 61754 14775 631 67 3325 981 1432 905 527
200423 64363 15737 680 68 3477 1040 1405 890 515
200424 68100 16616 723 75 3618 1108 1425 878 547
200425 71357 17766 797 78 3760 1165 1408 870 538
200426 78084 18581 827 83 3962 1177 1463 933 539
200427 85489 19487 858 87 4101 1263 1513 978 535
200428 87672 20113 929 87 4268 1295 1528 977 551
200429 90080 20849 985 93 4402 1361 1645 1060 585
200430 92617 21742 1047 93 4559 1432 1711 1121 590
200501 97511 23472 1098 94 4718 1517 1668 1100 568
200502 101049 24473 1156 95 4910 1590 1657 1091 566
200503 107332 25462 1182 99 5051 1666 1635 1070 565
200504 110587 26408 1216 101 5199 1695 1649 1086 563
200505 112986 27117 1290 100 5337 1819 1693 1120 573
200506 115849 28163 1338 99 5497 1903 1707 1123 584
200507 119226 29374 1401 102 5663 2029 1683 1099 584
200508 121702 30485 1453 107 5811 2041 1674 1103 571
200509 124494 31534 1510 104 5932 2159 1665 1090 575
200510 127344 32587 1538 106 5955 2293 1640 1029 611
200511 131407 33373 1573 110 6183 2298 1544 959 585
200512 135442 34061 1643 113 6287 2394 1563 973 590
200513 138762 34812 1694 115 6404 2456 1550 978 572
200514 142551 35903 1748 118 6553 2569 1538 969 569
200515 145840 36986 1792 119 6679 2685 1496 898 598
200516 152207 37968 1842 115 6755 2809 1500 902 598
200517 156122 38804 1876 116 6993 2816 1460 898 562
200518 161744 39762 1903 120 7086 2817 1447 892 555
200519 167112 41546 1963 118 7199 2868 1421 884 537
200520 173007 42323 2004 119 7393 2993 1410 871 539
200521 176702 43531 2045 114 7485 3099 1374 848 526
200522 183478 44424 2092 115 7634 3243 1329 823 506
