Date Allegany AnneArundel BaltimoreCity BaltimoreCounty Calvert Caroline Carroll Cecil Charles Dorchester Frederick Garrett Harford Howard Kent PrinceGeorges Montgomery QueenAnne Somerset StMary Talbot Washington Wicomico Worcester DnA
200403 NA 4 4 3 1 NA 5 1 1 NA 2 NA NA 2 5 9 9 NA NA NA NA NA 1 NA NA
200404 NA 5 5 4 1 NA 6 1 1 NA 2 NA NA 3 NA 13 9 NA NA NA NA NA 1 NA NA
200405 NA 6 7 6 1 NA 8 1 2 NA 3 NA NA 3 NA 16 13 NA NA NA NA NA 1 NA NA
200406 NA 8 8 11 1 NA 10 1 2 NA 4 NA NA 3 NA 23 19 NA NA NA NA NA 1 NA NA
200407 NA 8 9 11 1 NA 16 1 2 NA 4 NA NA 3 NA 26 21 NA NA NA NA NA 1 NA NA
200408 NA 11 10 13 2 NA 18 1 2 NA 4 NA NA 3 NA 32 26 NA NA NA 1 NA 1 NA NA
200409 NA 12 13 16 1 NA 18 1 3 NA 4 NA NA 4 NA 35 29 NA NA NA 1 NA 1 NA NA
200410 NA 16 17 21 1 NA 19 1 4 NA 9 NA NA 5 NA 42 34 NA NA NA 1 NA 1 NA NA
200411 NA 19 22 26 1 NA 25 1 5 NA 11 NA 1 6 NA 50 36 NA NA NA 1 1 1 NA NA
200412 NA 27 24 30 1 NA 25 1 9 NA 12 NA NA 6 NA 55 42 NA NA NA 1 1 1 NA NA
200413 NA 29 26 31 1 NA 28 1 10 1 12 NA NA 8 NA 63 48 NA NA 1 1 1 1 NA NA
200414 NA 32 29 41 1 NA 29 2 12 1 14 NA NA 9 NA 72 54 NA NA 3 1 1 1 NA NA
200415 NA 25 25 27 1 NA 20 2 11 1 20 NA NA 9 1 65 44 1 NA 1 1 NA 1 NA 93
200416 NA 29 31 31 1 NA 21 2 13 1 22 NA NA 10 1 70 56 1 NA 1 1 1 1 NA 98
200417 1 34 38 37 2 NA 25 2 15 1 23 NA NA 10 1 77 63 1 NA 1 1 1 1 NA 91
200418 1 34 40 38 2 NA 26 3 16 1 23 NA NA 10 1 85 70 2 NA 1 1 3 1 NA 105
200419 1 40 46 44 3 NA 27 3 17 1 25 NA 1 11 1 98 80 2 NA 2 1 3 3 NA 77
200420 1 42 49 44 3 NA 30 3 19 1 25 NA 1 12 1 103 89 2 NA 2 1 3 3 NA 82
200421 2 45 54 51 4 NA 31 3 22 1 28 NA 1 12 1 111 99 2 NA 3 1 3 2 NA 108
200422 3 49 58 58 5 NA 32 5 29 1 29 NA 2 13 1 125 110 2 NA 3 1 3 2 NA 100
200423 3 54 60 62 6 NA 34 5 31 2 30 NA 2 14 1 141 121 2 NA 4 1 3 3 NA 101
200424 3 56 65 65 6 NA 34 5 33 2 35 NA 3 14 2 147 135 3 NA 6 1 3 3 NA 102
200425 3 62 72 69 7 NA 36 5 34 2 39 NA 4 15 3 162 152 3 NA 6 1 3 4 NA 115
200426 3 63 73 71 7 NA 36 5 34 2 39 NA 4 15 3 163 160 3 NA 6 1 3 4 NA 132
200427 4 66 82 87 7 NA 37 5 36 2 42 NA 4 16 4 187 190 3 NA 6 1 3 5 NA 71
