OBJECTID,DATE,African_American,White,Hispanic,Asian,Other,Not_Available
1,2020/04/06 14:00:00+00,5,14,,0,1,2
2,2020/04/07 14:00:00+00,,,,,,
3,2020/04/08 14:00:00+00,55,39,,6,3,21
4,2020/04/09 14:00:00+00,61,45,,6,5,21
5,2020/04/10 14:00:00+00,77,58,,6,7,23
6,2020/04/11 14:00:00+00,91,72,,7,9,27
7,2020/04/12 14:00:00+00,104,83,,8,12,28
8,2020/04/13 14:00:00+00,120,93,0,10,15,24
9,2020/04/14 14:00:00+00,,,,,,
10,2020/04/15 14:00:00+00,139,109,13,10,7,71
11,2020/04/16 14:00:00+00,153,126,15,11,8,79
12,2020/04/17 14:00:00+00,166,137,17,13,12,80
13,2020/04/18 14:00:00+00,183,148,20,15,14,83
14,2020/04/19 14:00:00+00,196,159,21,15,14,81
15,2020/04/20 14:00:00+00,207,181,26,22,16,64
16,2020/04/21 14:00:00+00,218,201,32,21,17,95
17,2020/04/22 14:00:00+00,289,234,69,21,10,8
18,2020/04/23 14:00:00+00,289,258,72,21,10,30
19,2020/04/24 14:00:00+00,289,275,40,25,17,77
20,2020/04/25 14:00:00+00,301,296,44,29,10,117
21,2020/04/26 14:00:00+00,305,301,46,30,11,134
22,2020/04/27 14:00:00+00,353,328,56,33,16,72
23,2020/04/28 14:00:00+00,365,362,58,36,15,93
24,2020/04/29 14:00:00+00,404,390,64,36,17,74
25,2020/04/30 14:00:00+00,431,420,67,37,17,75
26,2020/05/01 14:00:00+00,436,436,69,38,16,103
27,2020/05/02 14:00:00+00,482,468,70,39,18,79
28,2020/05/03 14:00:00+00,500,486,78,39,18,61
29,2020/05/04 14:00:00+00,503,503,81,41,18,70
30,2020/05/05 14:00:00+00,521,537,83,44,19,86
31,2020/05/06 14:00:00+00,542,562,91,48,17,78
32,2020/05/07 14:00:00+00,567,580,96,48,17,93
33,2020/05/08 14:00:00+00,595,598,101,48,17,94
34,2020/05/09 14:00:00+00,611,622,107,49,21,100
35,2020/05/10 14:00:00+00,631,637,109,51,22,88
36,2020/05/11 14:00:00+00,638,645,114,52,22,102
37,2020/05/12 14:00:00+00,656,681,124,56,22,104
38,2020/05/13 14:00:00+00,691,704,133,58,23,85
39,2020/05/14 14:00:00+00,708,731,137,60,22,90
40,2020/05/15 14:00:00+00,736,746,142,61,24,83
41,2020/05/16 14:00:00+00,760,762,150,65,22,83
42,2020/05/17 14:00:00+00,777,779,154,67,23,76
43,2020/05/18 14:00:00+00,792,785,156,68,24,78
44,2020/05/19 14:00:00+00,815,817,160,69,24,78
45,2020/05/20 14:00:00+00,839,837,163,71,25,69
46,2020/05/21 14:00:00+00,852,855,176,74,27,61
47,2020/05/22 14:00:00+00,874,870,181,80,26,61
48,2020/05/23 14:00:00+00,891,886,187,81,26,59
49,2020/05/24 14:00:00+00,899,898,191,81,28,65
50,2020/05/25 14:00:00+00,909,913,194,83,29,59
51,2020/05/26 14:00:00+00,921,924,199,83,30,60
52,2020/05/27 14:00:00+00,941,944,204,85,27,69
53,2020/05/28 14:00:00+00,952,960,208,88,29,70
54,2020/05/29 14:00:00+00,972,982,215,89,30,60
55,2020/05/30 14:00:00+00,986,1003,222,92,30,57
56,2020/05/31 14:00:00+00,995,1016,226,93,31,50
57,2020/06/01 14:00:00+00,1007,1021,229,94,31,49
58,2020/06/02 14:00:00+00,1019,1039,234,96,32,54
59,2020/06/03 14:00:00+00,1043,1057,238,98,33,50
60,2020/06/04 14:00:00+00,1061,1071,243,99,32,40
61,2020/06/05 14:00:00+00,1077,1082,251,99,31,40
62,2020/06/06 14:00:00+00,1092,1101,256,101,32,34
63,2020/06/07 14:00:00+00,1100,1109,255,101,32,28
64,2020/06/08 14:00:00+00,1104,1114,258,101,32,44
65,2020/06/09 14:00:00+00,1115,1140,261,101,32,37
