OBJECTID,DATE,COUNTY,FACILITY_NAME,Staff_Private,Residents_Private,Staff_Public,Patients_Public,Inmates_Public,Youth_Public
4910,2020/04/29 14:00:00+00,Allegany,Cumberland Healthcare Center,16,73,,,,
4911,2020/04/29 14:00:00+00,Allegany,Green Ridge Youth Center,,,0,,,0
4912,2020/04/29 14:00:00+00,Allegany,North Branch Correctional Institution,,,1,,0,
4913,2020/04/29 14:00:00+00,Allegany,Sterling Care Frostburg Village,1,0,,,,
4914,2020/04/29 14:00:00+00,Allegany,Western Correctional Institution,,,2,,0,
4915,2020/04/29 14:00:00+00,Anne Arundel,Arbor Terrace Waugh Chapel,2,3,,,,
4916,2020/04/29 14:00:00+00,Anne Arundel,Atria Manresa,1,7,,,,
4917,2020/04/29 14:00:00+00,Anne Arundel,Baywoods of Annapolis,4,2,,,,
4918,2020/04/29 14:00:00+00,Anne Arundel,Brightview Senior Living,1,0,,,,
4919,2020/04/29 14:00:00+00,Anne Arundel,Crofton Care and Rehabilitation,6,43,,,,
4920,2020/04/29 14:00:00+00,Anne Arundel,Dorsey Run Correctional Facility,,,22,,7,
4921,2020/04/29 14:00:00+00,Anne Arundel,Fairfield Nursing and Rehabilitation Center,23,26,,,,
4922,2020/04/29 14:00:00+00,Anne Arundel,FutureCare Chesapeake,43,71,,,,
4923,2020/04/29 14:00:00+00,Anne Arundel,Genesis Severna Park,1,3,,,,
4924,2020/04/29 14:00:00+00,Anne Arundel,Genesis Waugh Chapel,12,41,,,,
4925,2020/04/29 14:00:00+00,Anne Arundel,Ginger Cove,13,5,,,,
4926,2020/04/29 14:00:00+00,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,5,20,,,,
4927,2020/04/29 14:00:00+00,Anne Arundel,Inspiration Memory Care Linthicum,7,14,,,,
4928,2020/04/29 14:00:00+00,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),,,43,,17,
4929,2020/04/29 14:00:00+00,Anne Arundel,Marley Neck Health and Rehabilitation Center,5,9,,,,
4930,2020/04/29 14:00:00+00,Anne Arundel,Maryland Correctional Institution - Jessup,,,13,,2,
4931,2020/04/29 14:00:00+00,Anne Arundel,Maryland Correctional Institution for Women,,,27,,11,
4932,2020/04/29 14:00:00+00,Anne Arundel,North Arundel Health and Rehabilitation Center,8,7,,,,
4933,2020/04/29 14:00:00+00,Anne Arundel,Ordnance Road Detention Center,,,1,0,,
4934,2020/04/29 14:00:00+00,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,,,27,,15,
4935,2020/04/29 14:00:00+00,Anne Arundel,South River Healthcare Center,12,19,,,,
4936,2020/04/29 14:00:00+00,Anne Arundel,Spa Creek Center,0,1,,,,
4937,2020/04/29 14:00:00+00,Anne Arundel,Sunrise of Severna Park,0,2,,,,
4938,2020/04/29 14:00:00+00,Anne Arundel,Thomas J.S. Waxter Children's Center,,,0,,,0
4939,2020/04/29 14:00:00+00,Baltimore City,Autumn Lake Healthcare at Bridgepark,0,2,,,,
