OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,2020/03/29 14:00:00+00,4,21,165,203,241,243,191,117,54,
2,2020/03/30 14:00:00+00,5,27,188,247,262,274,219,139,53,
3,2020/03/31 14:00:00+00,6,32,215,290,304,335,260,157,61,
4,2020/04/01 14:00:00+00,6,39,252,345,372,396,309,187,79,
5,2020/04/02 14:00:00+00,9,46,286,410,437,471,357,217,98,
6,2020/04/03 14:00:00+00,9,55,335,485,509,552,423,266,124,
7,2020/04/04 14:00:00+00,13,65,379,557,575,625,473,299,139,
8,2020/04/05 14:00:00+00,16,69,422,638,666,736,546,354,162,
9,2020/04/06 14:00:00+00,16,76,469,718,737,825,597,407,200,
10,2020/04/07 14:00:00+00,21,82,505,773,795,891,643,445,216,
11,2020/04/08 14:00:00+00,27,109,625,968,1015,1135,833,550,267,
12,2020/04/09 14:00:00+00,33,127,701,1076,1145,1282,913,600,308,
13,2020/04/10 14:00:00+00,36,146,772,1205,1281,1421,1051,685,371,
14,2020/04/11 14:00:00+00,45,162,855,1317,1413,1565,1141,757,439,
15,2020/04/12 14:00:00+00,52,172,906,1390,1504,1675,1212,816,498,
16,2020/04/13 14:00:00+00,63,190,970,1511,1637,1801,1317,877,570,
17,2020/04/14 14:00:00+00,70,199,1030,1603,1740,1902,1389,935,604,0
18,2020/04/15 14:00:00+00,74,204,1089,1670,1808,2005,1474,1010,698,0
19,2020/04/16 14:00:00+00,86,231,1162,1784,1951,2138,1602,1065,765,0
20,2020/04/17 14:00:00+00,86,242,1227,1882,2088,2287,1710,1171,879,0
21,2020/04/18 14:00:00+00,89,254,1311,2010,2215,2399,1831,1253,946,0
22,2020/04/19 14:00:00+00,93,277,1391,2100,2312,2492,1898,1286,981,0
23,2020/04/20 14:00:00+00,108,300,1488,2245,2442,2632,2015,1385,1069,0
24,2020/04/21 14:00:00+00,118,318,1543,2329,2539,2712,2083,1432,1119,0
25,2020/04/22 14:00:00+00,132,337,1595,2415,2611,2805,2156,1512,1212,0
26,2020/04/23 14:00:00+00,152,369,1708,2604,2786,2960,2269,1593,1296,0
27,2020/04/24 14:00:00+00,164,395,1833,2757,2931,3094,2383,1680,1379,0
28,2020/04/25 14:00:00+00,189,441,1982,2963,3155,3288,2548,1766,1434,0
29,2020/04/26 14:00:00+00,212,463,2097,3109,3270,3414,2651,1837,1528,0
30,2020/04/27 14:00:00+00,228,490,2217,3264,3436,3556,2758,1916,1622,0
31,2020/04/28 14:00:00+00,246,512,2293,3367,3555,3675,2835,1973,1657,0
32,2020/04/29 14:00:00+00,256,539,2393,3511,3696,3792,2927,2035,1700,0
33,2020/04/30 14:00:00+00,294,573,2525,3684,3871,3939,3010,2083,1763,0
34,2020/05/01 14:00:00+00,330,652,2742,4025,4226,4242,3215,2181,1859,0
35,2020/05/02 14:00:00+00,348,701,2868,4207,4377,4400,3350,2270,1952,0
36,2020/05/03 14:00:00+00,369,743,3043,4388,4534,4532,3459,2338,2056,0
37,2020/05/04 14:00:00+00,385,769,3184,4550,4696,4687,3569,2424,2144,0
38,2020/05/05 14:00:00+00,398,791,3287,4687,4841,4820,3636,2465,2192,0
39,2020/05/06 14:00:00+00,416,834,3474,4894,5031,4996,3734,2524,2260,0
40,2020/05/07 14:00:00+00,435,898,3681,5161,5269,5161,3860,2592,2317,0
41,2020/05/08 14:00:00+00,486,969,3848,5376,5468,5311,3972,2666,2389,0
42,2020/05/09 14:00:00+00,516,1015,3993,5575,5675,5464,4077,2738,2481,0
43,2020/05/10 14:00:00+00,546,1078,4160,5777,5840,5609,4189,2801,2587,0
44,2020/05/11 14:00:00+00,570,1131,4299,5952,5989,5707,4255,2840,2630,0
45,2020/05/12 14:00:00+00,608,1183,4399,6084,6119,5791,4318,2884,2675,0
46,2020/05/13 14:00:00+00,635,1238,4517,6236,6282,5898,4394,2912,2700,0
47,2020/05/14 14:00:00+00,671,1299,4685,6475,6440,6033,4487,3004,2809,0
48,2020/05/15 14:00:00+00,716,1383,4849,6699,6635,6194,4577,3076,2857,0
49,2020/05/16 14:00:00+00,743,1437,5000,6880,6818,6354,4665,3142,2929,0
50,2020/05/17 14:00:00+00,778,1480,5143,7072,6958,6484,4744,3189,2956,0
51,2020/05/18 14:00:00+00,811,1549,5279,7266,7135,6605,4834,3244,3039,0
52,2020/05/19 14:00:00+00,837,1602,5520,7617,7495,6964,5050,3351,3110,0
53,2020/05/20 14:00:00+00,887,1660,5623,7777,7640,7066,5134,3388,3148,0
54,2020/05/21 14:00:00+00,928,1736,5826,8031,7868,7267,5244,3439,3192,0
55,2020/05/22 14:00:00+00,956,1785,5967,8189,8052,7392,5336,3498,3249,0
56,2020/05/23 14:00:00+00,989,1852,6146,8425,8264,7556,5428,3541,3294,0
57,2020/05/24 14:00:00+00,1018,1899,6270,8587,8411,7667,5511,3596,3354,0
58,2020/05/25 14:00:00+00,1052,1951,6405,8728,8546,7790,5623,3644,3413,0
59,2020/05/26 14:00:00+00,1068,1979,6480,8807,8644,7888,5678,3681,3462,0
60,2020/05/27 14:00:00+00,1119,2025,6597,8940,8754,7994,5751,3724,3519,0
61,2020/05/28 14:00:00+00,1182,2119,6815,9214,8989,8176,5867,3780,3567,0
62,2020/05/29 14:00:00+00,1224,2191,7033,9460,9212,8354,5996,3877,3641,0
