OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,2020/04/08 14:00:00+00,0,0,0,4,4,16,26,39,35,
2,2020/04/09 14:00:00+00,0,0,0,4,4,16,28,43,43,
3,2020/04/10 14:00:00+00,0,0,0,5,5,20,32,51,58,
4,2020/04/11 14:00:00+00,0,0,1,8,5,22,42,57,71,
5,2020/04/12 14:00:00+00,0,0,1,9,5,25,51,65,79,
6,2020/04/13 14:00:00+00,0,0,1,9,5,26,58,73,90,
7,2020/04/14 14:00:00+00,0,0,1,11,6,29,69,83,103,0
8,2020/04/15 14:00:00+00,0,0,1,5,5,18,53,71,107,89
9,2020/04/16 14:00:00+00,0,0,2,6,6,23,61,77,123,94
10,2020/04/17 14:00:00+00,0,0,2,8,7,24,68,87,141,88
11,2020/04/18 14:00:00+00,0,0,2,8,9,24,72,93,153,102
12,2020/04/19 14:00:00+00,0,0,2,12,10,30,78,109,169,76
13,2020/04/20 14:00:00+00,0,0,2,12,10,33,80,115,185,79
14,2020/04/21 14:00:00+00,0,0,2,11,12,34,84,135,201,105
15,2020/04/22 14:00:00+00,0,0,2,12,12,39,90,150,228,98
16,2020/04/23 14:00:00+00,0,0,3,12,15,43,93,167,247,100
17,2020/04/24 14:00:00+00,0,0,3,13,17,46,102,174,267,101
18,2020/04/25 14:00:00+00,0,0,4,12,18,54,113,183,298,115
19,2020/04/26 14:00:00+00,0,0,4,12,18,54,117,185,305,132
20,2020/04/27 14:00:00+00,0,0,5,13,18,60,134,210,345,73
21,2020/04/28 14:00:00+00,0,0,6,13,19,61,139,219,377,95
22,2020/04/29 14:00:00+00,0,0,7,14,24,65,152,234,413,76
23,2020/04/30 14:00:00+00,0,0,8,14,26,68,161,251,444,75
24,2020/05/01 14:00:00+00,0,0,8,14,28,68,164,259,453,104
25,2020/05/02 14:00:00+00,0,0,8,16,28,76,176,285,490,77
26,2020/05/03 14:00:00+00,0,0,8,16,30,83,186,292,506,61
27,2020/05/04 14:00:00+00,0,0,8,17,30,85,191,296,519,70
28,2020/05/05 14:00:00+00,0,0,9,17,32,86,199,311,553,83
29,2020/05/06 14:00:00+00,0,0,9,17,33,87,207,325,585,75
30,2020/05/07 14:00:00+00,0,0,9,17,35,89,215,336,610,90
